"period","config","mise"
"daily","rectangular_nrd0_0.025",467925.914799232
"daily","rectangular_nrd0_0.25",230258.339914905
"daily","rectangular_nrd0_0.5",146566.400673797
"daily","rectangular_nrd0_0.75",223051.039572941
"daily","rectangular_nrd0_0.975",496935.562744514
"daily","rectangular_SJ_0.025",649353.066180884
"daily","rectangular_SJ_0.25",328275.004705477
"daily","rectangular_SJ_0.5",209699.631572818
"daily","rectangular_SJ_0.75",323149.540251794
"daily","rectangular_SJ_0.975",717671.294506941
"daily","epanechnikov_nrd0_0.025",510522.15728406
"daily","epanechnikov_nrd0_0.25",277355.101927159
"daily","epanechnikov_nrd0_0.5",185968.676114268
"daily","epanechnikov_nrd0_0.75",277379.045430329
"daily","epanechnikov_nrd0_0.975",562750.272094173
"daily","epanechnikov_SJ_0.025",671851.327264852
"daily","epanechnikov_SJ_0.25",355376.094482363
"daily","epanechnikov_SJ_0.5",232747.3902009
"daily","epanechnikov_SJ_0.75",352285.074828605
"daily","epanechnikov_SJ_0.975",752932.66747834
"daily","biweight_nrd0_0.025",552144.059485271
"daily","biweight_nrd0_0.25",304817.821712029
"daily","biweight_nrd0_0.5",203232.287433966
"daily","biweight_nrd0_0.75",308533.566887803
"daily","biweight_nrd0_0.975",611697.329300062
"daily","biweight_SJ_0.025",691478.706305622
"daily","biweight_SJ_0.25",366977.715815893
"daily","biweight_SJ_0.5",244175.790647761
"daily","biweight_SJ_0.75",364236.148403851
"daily","biweight_SJ_0.975",783896.021868075
"daily","triangular_nrd0_0.025",523419.632407873
"daily","triangular_nrd0_0.25",292481.910948599
"daily","triangular_nrd0_0.5",199050.885828913
"daily","triangular_nrd0_0.75",297292.885274783
"daily","triangular_nrd0_0.975",579292.640674286
"daily","triangular_SJ_0.025",675915.646869009
"daily","triangular_SJ_0.25",362187.318494796
"daily","triangular_SJ_0.5",240529.596204746
"daily","triangular_SJ_0.75",359893.498836767
"daily","triangular_SJ_0.975",762953.989861446
"daily","gaussian_nrd0_0.025",307852.205519265
"daily","gaussian_nrd0_0.25",195225.115371066
"daily","gaussian_nrd0_0.5",122200.106732865
"daily","gaussian_nrd0_0.75",122700.546333307
"daily","gaussian_nrd0_0.975",97429.7205121521
"daily","gaussian_SJ_0.025",397164.983896607
"daily","gaussian_SJ_0.25",253162.729281346
"daily","gaussian_SJ_0.5",174599.025544148
"daily","gaussian_SJ_0.75",254829.775063559
"daily","gaussian_SJ_0.975",356668.482480404
"weekly","rectangular_nrd0_0.025",375669.476540165
"weekly","rectangular_nrd0_0.25",185901.440217851
"weekly","rectangular_nrd0_0.5",113303.15762606
"weekly","rectangular_nrd0_0.75",153550.110760374
"weekly","rectangular_nrd0_0.975",326140.983917157
"weekly","rectangular_SJ_0.025",467186.914204304
"weekly","rectangular_SJ_0.25",222288.771545949
"weekly","rectangular_SJ_0.5",147051.809545433
"weekly","rectangular_SJ_0.75",219726.158272921
"weekly","rectangular_SJ_0.975",520488.151511519
"weekly","epanechnikov_nrd0_0.025",406679.67350474
"weekly","epanechnikov_nrd0_0.25",219999.303420575
"weekly","epanechnikov_nrd0_0.5",150733.084322382
"weekly","epanechnikov_nrd0_0.75",220120.788925753
"weekly","epanechnikov_nrd0_0.975",402633.398966752
"weekly","epanechnikov_SJ_0.025",514256.802518951
"weekly","epanechnikov_SJ_0.25",270809.683398286
"weekly","epanechnikov_SJ_0.5",187444.95991915
"weekly","epanechnikov_SJ_0.75",276620.185190169
"weekly","epanechnikov_SJ_0.975",588926.554266721
"weekly","biweight_nrd0_0.025",446831.493202939
"weekly","biweight_nrd0_0.25",248353.458195287
"weekly","biweight_nrd0_0.5",175574.905807226
"weekly","biweight_nrd0_0.75",253934.503275475
"weekly","biweight_nrd0_0.975",476432.465016925
"weekly","biweight_SJ_0.025",552137.550896181
"weekly","biweight_SJ_0.25",299660.032733182
"weekly","biweight_SJ_0.5",205183.852685788
"weekly","biweight_SJ_0.75",307989.612510732
"weekly","biweight_SJ_0.975",638220.376783271
"weekly","triangular_nrd0_0.025",420662.773711494
"weekly","triangular_nrd0_0.25",237367.023594418
"weekly","triangular_nrd0_0.5",169473.137821876
"weekly","triangular_nrd0_0.75",241383.489747018
"weekly","triangular_nrd0_0.975",421426.905168304
"weekly","triangular_SJ_0.025",526666.014811823
"weekly","triangular_SJ_0.25",287279.369261929
"weekly","triangular_SJ_0.5",200832.760824584
"weekly","triangular_SJ_0.75",297773.596557994
"weekly","triangular_SJ_0.975",604672.824105753
"weekly","gaussian_nrd0_0.025",310822.61662046
"weekly","gaussian_nrd0_0.25",165731.044167326
"weekly","gaussian_nrd0_0.5",93805.9525860414
"weekly","gaussian_nrd0_0.75",46878.4322541219
"weekly","gaussian_nrd0_0.975",43577.1639427802
"weekly","gaussian_SJ_0.025",302551.254003786
"weekly","gaussian_SJ_0.25",187797.389017746
"weekly","gaussian_SJ_0.5",123434.748401008
"weekly","gaussian_SJ_0.75",122363.396030366
"weekly","gaussian_SJ_0.975",102742.796709595
"monthly","rectangular_nrd0_0.025",298432.928808515
"monthly","rectangular_nrd0_0.25",159833.651197054
"monthly","rectangular_nrd0_0.5",95363.1189390467
"monthly","rectangular_nrd0_0.75",88573.5578214649
"monthly","rectangular_nrd0_0.975",196897.399707216
"monthly","rectangular_SJ_0.025",317014.028262232
"monthly","rectangular_SJ_0.25",162429.022117737
"monthly","rectangular_SJ_0.5",103922.714257306
"monthly","rectangular_SJ_0.75",116428.755317499
"monthly","rectangular_SJ_0.975",224158.24782963
"monthly","rectangular_ucv_0.025",292469.831681538
"monthly","rectangular_ucv_0.25",158922.047471528
"monthly","rectangular_ucv_0.5",95236.6652901699
"monthly","rectangular_ucv_0.75",82883.9829823116
"monthly","rectangular_ucv_0.975",187234.87247884
"monthly","epanechnikov_nrd0_0.025",322348.388516687
"monthly","epanechnikov_nrd0_0.25",178052.258466006
"monthly","epanechnikov_nrd0_0.5",124437.68852172
"monthly","epanechnikov_nrd0_0.75",178784.431540255
"monthly","epanechnikov_nrd0_0.975",228515.305397952
"monthly","epanechnikov_SJ_0.025",339062.29924844
"monthly","epanechnikov_SJ_0.25",182790.555092373
"monthly","epanechnikov_SJ_0.5",130364.015970006
"monthly","epanechnikov_SJ_0.75",199344.623281603
"monthly","epanechnikov_SJ_0.975",275194.165719125
"monthly","epanechnikov_ucv_0.025",314699.11331269
"monthly","epanechnikov_ucv_0.25",175942.558796359
"monthly","epanechnikov_ucv_0.5",122977.83641297
"monthly","epanechnikov_ucv_0.75",172755.285704485
"monthly","epanechnikov_ucv_0.975",219596.425667781
"monthly","biweight_nrd0_0.025",357539.798944782
"monthly","biweight_nrd0_0.25",194464.133305294
"monthly","biweight_nrd0_0.5",147795.683313129
"monthly","biweight_nrd0_0.75",224718.853019132
"monthly","biweight_nrd0_0.975",293791.23518007
"monthly","biweight_SJ_0.025",380093.269841701
"monthly","biweight_SJ_0.25",208061.270328062
"monthly","biweight_SJ_0.5",155141.047886116
"monthly","biweight_SJ_0.75",235618.970664181
"monthly","biweight_SJ_0.975",340486.36353726
"monthly","biweight_ucv_0.025",349719.594244098
"monthly","biweight_ucv_0.25",193993.604063083
"monthly","biweight_ucv_0.5",146562.435195778
"monthly","biweight_ucv_0.75",211607.83429023
"monthly","biweight_ucv_0.975",288438.629132079
"monthly","triangular_nrd0_0.025",331675.407556682
